stage,model_name,size,downsampling,activation,head,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,scratch_small_maxpool_relu_gap,small,maxpool,relu,gap,1,18,1.13394640,0.64867876,1.34272397,0.58564232,0.0010000000,12.2617,0,3,1,128
grid,scratch_small_maxpool_relu_gap,small,maxpool,relu,gap,1,19,1.12297795,0.64326648,1.41635563,0.62657431,0.0010000000,10.9308,0,4,1,128
grid,scratch_small_maxpool_relu_gap,small,maxpool,relu,gap,1,1,2.57634917,0.22636103,2.54303086,0.28526448,0.0010000000,22.4820,1,0,1,256
grid,scratch_small_maxpool_relu_gap,small,maxpool,relu,gap,1,20,1.10915075,0.65425024,1.29180280,0.63413098,0.0010000000,10.4479,0,5,1,128
grid,scratch_small_maxpool_relu_gap,small,maxpool,relu,gap,1,21,1.05932561,0.67494429,1.31793165,0.64609572,0.0001000000,10.6069,0,6,1,128
grid,scratch_small_maxpool_relu_gap,small,maxpool,relu,gap,1,22,0.99598676,0.68990767,1.19865145,0.67317380,0.0001000000,13.2784,1,0,1,128
grid,scratch_small_maxpool_relu_gap,small,maxpool,relu,gap,1,23,0.95959477,0.70391595,1.14855901,0.67254408,0.0001000000,10.3808,1,0,1,128
grid,scratch_small_maxpool_relu_gap,small,maxpool,relu,gap,1,24,0.96182946,0.70296084,1.15716983,0.66939547,0.0001000000,12.1223,0,1,1,128
grid,scratch_small_maxpool_relu_gap,small,maxpool,relu,gap,1,25,0.95073058,0.70885068,1.14248220,0.67758186,0.0001000000,11.1871,1,0,1,128
grid,scratch_small_maxpool_relu_gap,small,maxpool,relu,gap,1,26,0.94269130,0.71139764,1.13760170,0.66561713,0.0001000000,10.3785,1,0,1,128
grid,scratch_small_maxpool_relu_gap,small,maxpool,relu,gap,1,27,0.95484115,0.70598535,1.13109737,0.67380353,0.0001000000,10.6346,1,0,1,128
grid,scratch_small_maxpool_relu_gap,small,maxpool,relu,gap,1,28,0.94156846,0.71426297,1.12554438,0.67317380,0.0001000000,10.4349,1,0,1,128
grid,scratch_small_maxpool_relu_gap,small,maxpool,relu,gap,1,29,0.94726401,0.70709965,1.14527080,0.67443325,0.0001000000,10.7180,0,1,1,128
grid,scratch_small_maxpool_relu_gap,small,maxpool,relu,gap,1,30,0.93888738,0.70741802,1.11442716,0.68010076,0.0001000000,10.4339,1,0,1,128
grid,scratch_small_maxpool_relu_gap,small,maxpool,relu,gap,1,31,0.91861182,0.71887934,1.14345602,0.66498741,0.0001000000,10.8711,0,1,1,128
grid,scratch_small_maxpool_relu_gap,small,maxpool,relu,gap,1,32,0.92950156,0.70948742,1.11942109,0.68513854,0.0001000000,10.0532,0,2,1,128
grid,scratch_small_maxpool_relu_gap,small,maxpool,relu,gap,1,33,0.92058218,0.71792423,1.11083858,0.67947103,0.0001000000,10.1794,1,0,1,128
grid,scratch_small_maxpool_relu_gap,small,maxpool,relu,gap,1,34,0.91329663,0.72031200,1.12742935,0.68261965,0.0001000000,10.4422,0,1,1,128
grid,scratch_small_maxpool_relu_gap,small,maxpool,relu,gap,1,35,0.90987400,0.72476918,1.10411068,0.67002519,0.0001000000,10.7367,1,0,1,128
grid,scratch_small_maxpool_relu_gap,small,maxpool,relu,gap,1,36,0.90553458,0.72047119,1.14397859,0.68073048,0.0001000000,10.2825,0,1,1,128
