stage,model_name,size,downsampling,activation,head,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,scratch_small_maxpool_relu_pool4mlp,small,maxpool,relu,pool4mlp,3,1,2.16712423,0.33492518,1.66851032,0.50629723,0.0010000000,11.3719,1,0,1,128
grid,scratch_small_maxpool_relu_pool4mlp,small,maxpool,relu,pool4mlp,3,2,1.52437881,0.51098376,1.47230232,0.52141058,0.0010000000,10.0630,1,0,1,128
grid,scratch_small_maxpool_relu_pool4mlp,small,maxpool,relu,pool4mlp,3,3,1.26377687,0.59487424,1.45932068,0.56423174,0.0010000000,12.1933,1,0,1,128
grid,scratch_small_maxpool_relu_pool4mlp,small,maxpool,relu,pool4mlp,3,4,1.12980997,0.63355619,1.20901231,0.59949622,0.0010000000,10.3286,1,0,1,128
grid,scratch_small_maxpool_relu_pool4mlp,small,maxpool,relu,pool4mlp,3,5,1.01787419,0.66061764,1.11180348,0.64924433,0.0010000000,10.3343,1,0,1,128
grid,scratch_small_maxpool_relu_pool4mlp,small,maxpool,relu,pool4mlp,3,6,0.93746858,0.68958930,1.10138201,0.64483627,0.0010000000,11.0100,1,0,1,128
grid,scratch_small_maxpool_relu_pool4mlp,small,maxpool,relu,pool4mlp,3,7,0.86516179,0.71251194,1.24918714,0.59382872,0.0010000000,10.8306,0,1,1,128
grid,scratch_small_maxpool_relu_pool4mlp,small,maxpool,relu,pool4mlp,3,8,0.80607130,0.73368354,1.08915501,0.68136020,0.0010000000,11.4712,1,0,1,128
grid,scratch_small_maxpool_relu_pool4mlp,small,maxpool,relu,pool4mlp,3,9,0.78818296,0.73670805,1.13921282,0.65113350,0.0010000000,10.5111,0,1,1,128
grid,scratch_small_maxpool_relu_pool4mlp,small,maxpool,relu,pool4mlp,3,10,0.73446042,0.75390003,0.92786091,0.71662469,0.0010000000,11.0284,1,0,1,128
grid,scratch_small_maxpool_relu_pool4mlp,small,maxpool,relu,pool4mlp,3,11,0.68782740,0.76838586,0.86919971,0.72292191,0.0010000000,10.5428,1,0,1,128
grid,scratch_small_maxpool_relu_pool4mlp,small,maxpool,relu,pool4mlp,3,12,0.64158272,0.78525947,0.84254143,0.74244332,0.0010000000,10.6003,1,0,1,128
grid,scratch_small_maxpool_relu_pool4mlp,small,maxpool,relu,pool4mlp,3,13,0.63254328,0.79401465,0.79762086,0.72732997,0.0010000000,10.9066,1,0,1,128
grid,scratch_small_maxpool_relu_pool4mlp,small,maxpool,relu,pool4mlp,3,14,0.64724225,0.78398599,0.87018291,0.73236776,0.0010000000,10.8371,0,1,1,128
grid,scratch_small_maxpool_relu_pool4mlp,small,maxpool,relu,pool4mlp,3,15,0.59413009,0.80308819,0.95221320,0.71788413,0.0010000000,10.1185,0,2,1,128
grid,scratch_small_maxpool_relu_pool4mlp,small,maxpool,relu,pool4mlp,3,16,0.55054046,0.81741484,0.83339854,0.73425693,0.0010000000,10.9785,0,3,1,128
