stage,model_name,size,downsampling,activation,head,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,scratch_small_maxpool_silu_gap,small,maxpool,silu,gap,3,1,2.44842223,0.28685132,2.24779182,0.32493703,0.0010000000,10.8513,1,0,1,128
grid,scratch_small_maxpool_silu_gap,small,maxpool,silu,gap,3,2,2.07533768,0.39207259,2.00482842,0.36083123,0.0010000000,11.3872,1,0,1,128
grid,scratch_small_maxpool_silu_gap,small,maxpool,silu,gap,3,3,1.86461779,0.45845272,1.87723352,0.42695214,0.0010000000,11.4319,1,0,1,128
grid,scratch_small_maxpool_silu_gap,small,maxpool,silu,gap,3,4,1.73017842,0.49490608,1.80421015,0.42002519,0.0010000000,11.0504,1,0,1,128
grid,scratch_small_maxpool_silu_gap,small,maxpool,silu,gap,3,5,1.62053520,0.52467367,1.66716684,0.50125945,0.0010000000,11.1158,1,0,1,128
grid,scratch_small_maxpool_silu_gap,small,maxpool,silu,gap,3,6,1.55076307,0.54027380,1.55086283,0.52959698,0.0010000000,11.1837,1,0,1,128
grid,scratch_small_maxpool_silu_gap,small,maxpool,silu,gap,3,7,1.45844070,0.56669850,1.55490984,0.54722922,0.0010000000,11.0249,0,1,1,128
grid,scratch_small_maxpool_silu_gap,small,maxpool,silu,gap,3,8,1.40900649,0.58261700,1.56733590,0.53463476,0.0010000000,10.7887,0,2,1,128
grid,scratch_small_maxpool_silu_gap,small,maxpool,silu,gap,3,9,1.36563042,0.59184973,1.52802393,0.58060453,0.0010000000,10.5909,1,0,1,128
grid,scratch_small_maxpool_silu_gap,small,maxpool,silu,gap,3,10,1.32973212,0.60315186,1.46000742,0.54911839,0.0010000000,11.2167,1,0,1,128
grid,scratch_small_maxpool_silu_gap,small,maxpool,silu,gap,3,11,1.27957027,0.61461318,1.33895037,0.60705290,0.0010000000,10.9349,1,0,1,128
grid,scratch_small_maxpool_silu_gap,small,maxpool,silu,gap,3,12,1.25198782,0.62145813,1.33563702,0.60642317,0.0010000000,10.9240,1,0,1,128
grid,scratch_small_maxpool_silu_gap,small,maxpool,silu,gap,3,13,1.20901711,0.63307864,1.35849543,0.59508816,0.0010000000,11.2349,0,1,1,128
grid,scratch_small_maxpool_silu_gap,small,maxpool,silu,gap,3,14,1.19474925,0.63689908,1.36113619,0.61901763,0.0010000000,10.7395,0,2,1,128
grid,scratch_small_maxpool_silu_gap,small,maxpool,silu,gap,3,15,1.17916774,0.63912767,1.50157339,0.59193955,0.0010000000,12.8375,0,3,1,128
grid,scratch_small_maxpool_silu_gap,small,maxpool,silu,gap,3,16,1.14892634,0.64374403,1.43942148,0.58753149,0.0010000000,11.7853,0,4,1,128
