stage,model_name,size,downsampling,activation,head,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,scratch_small_maxpool_silu_pool4mlp,small,maxpool,silu,pool4mlp,3,1,1.97522979,0.38538682,1.55332542,0.51952141,0.0010000000,11.1421,1,0,1,128
grid,scratch_small_maxpool_silu_pool4mlp,small,maxpool,silu,pool4mlp,3,2,1.34784490,0.56638013,1.39663664,0.52833753,0.0010000000,10.5533,1,0,1,128
grid,scratch_small_maxpool_silu_pool4mlp,small,maxpool,silu,pool4mlp,3,3,1.13068219,0.63610315,1.10403354,0.66624685,0.0010000000,10.5130,1,0,1,128
grid,scratch_small_maxpool_silu_pool4mlp,small,maxpool,silu,pool4mlp,3,4,0.96880893,0.67860554,1.09687205,0.62657431,0.0010000000,10.5550,1,0,1,128
grid,scratch_small_maxpool_silu_pool4mlp,small,maxpool,silu,pool4mlp,3,5,0.83964547,0.71553645,1.05231929,0.67065491,0.0010000000,11.0741,1,0,1,128
grid,scratch_small_maxpool_silu_pool4mlp,small,maxpool,silu,pool4mlp,3,6,0.81488677,0.73400191,1.05071954,0.67884131,0.0010000000,11.0073,1,0,1,128
grid,scratch_small_maxpool_silu_pool4mlp,small,maxpool,silu,pool4mlp,3,7,0.68916675,0.76902260,0.98327619,0.70151134,0.0010000000,10.3591,1,0,1,128
grid,scratch_small_maxpool_silu_pool4mlp,small,maxpool,silu,pool4mlp,3,8,0.61301208,0.79672079,0.97530433,0.71284635,0.0010000000,10.8192,1,0,1,128
grid,scratch_small_maxpool_silu_pool4mlp,small,maxpool,silu,pool4mlp,3,9,0.58911755,0.80292900,0.89704831,0.72732997,0.0010000000,11.4178,1,0,1,128
grid,scratch_small_maxpool_silu_pool4mlp,small,maxpool,silu,pool4mlp,3,10,0.57764201,0.80563515,1.00440032,0.71914358,0.0010000000,10.6436,0,1,1,128
grid,scratch_small_maxpool_silu_pool4mlp,small,maxpool,silu,pool4mlp,3,11,0.49972931,0.82967208,0.81231019,0.75503778,0.0010000000,10.9617,1,0,1,128
grid,scratch_small_maxpool_silu_pool4mlp,small,maxpool,silu,pool4mlp,3,12,0.45732164,0.84559058,0.75105159,0.77959698,0.0010000000,10.3826,1,0,1,128
grid,scratch_small_maxpool_silu_pool4mlp,small,maxpool,silu,pool4mlp,3,13,0.47979596,0.84192932,0.87067771,0.72355164,0.0010000000,10.5747,0,1,1,128
grid,scratch_small_maxpool_silu_pool4mlp,small,maxpool,silu,pool4mlp,3,14,0.42797667,0.86166826,0.83968794,0.72984887,0.0010000000,11.1519,0,2,1,128
grid,scratch_small_maxpool_silu_pool4mlp,small,maxpool,silu,pool4mlp,3,15,0.42816638,0.85737026,0.82615996,0.77329975,0.0010000000,11.6224,0,3,1,128
grid,scratch_small_maxpool_silu_pool4mlp,small,maxpool,silu,pool4mlp,3,16,0.37608054,0.87137854,0.93254948,0.75944584,0.0010000000,10.3384,0,4,1,128
