stage,model_name,size,downsampling,activation,head,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,scratch_small_strided_relu_gap,small,strided,relu,gap,3,1,2.43946747,0.27873289,2.31071119,0.26763224,0.0010000000,11.1429,1,0,1,128
grid,scratch_small_strided_relu_gap,small,strided,relu,gap,3,2,2.12567288,0.37074180,2.10988734,0.37342569,0.0010000000,11.3839,1,0,1,128
grid,scratch_small_strided_relu_gap,small,strided,relu,gap,3,3,1.96123442,0.42502388,1.93993724,0.41435768,0.0010000000,11.8405,1,0,1,128
grid,scratch_small_strided_relu_gap,small,strided,relu,gap,3,4,1.83792891,0.45272206,1.88852084,0.39672544,0.0010000000,10.4846,1,0,1,128
grid,scratch_small_strided_relu_gap,small,strided,relu,gap,3,5,1.73435955,0.48392232,1.80471082,0.43828715,0.0010000000,13.0572,1,0,1,128
grid,scratch_small_strided_relu_gap,small,strided,relu,gap,3,6,1.68672309,0.50397962,1.70405104,0.44836272,0.0010000000,11.0559,1,0,1,128
grid,scratch_small_strided_relu_gap,small,strided,relu,gap,3,7,1.59926556,0.51337154,1.72025521,0.50566751,0.0010000000,10.8620,0,1,1,128
grid,scratch_small_strided_relu_gap,small,strided,relu,gap,3,8,1.56721903,0.52626552,1.66355693,0.52267003,0.0010000000,10.7847,1,0,1,128
grid,scratch_small_strided_relu_gap,small,strided,relu,gap,3,9,1.52701309,0.53852276,1.90956877,0.39987406,0.0010000000,11.3235,0,1,1,128
grid,scratch_small_strided_relu_gap,small,strided,relu,gap,3,10,1.46368406,0.55794333,1.54048181,0.54722922,0.0010000000,10.3571,1,0,1,128
grid,scratch_small_strided_relu_gap,small,strided,relu,gap,3,11,1.42217257,0.56860872,1.51538663,0.55478589,0.0010000000,11.1283,1,0,1,128
grid,scratch_small_strided_relu_gap,small,strided,relu,gap,3,12,1.38110910,0.58357211,1.50747888,0.58249370,0.0010000000,10.2066,1,0,1,128
