stage,model_name,size,downsampling,activation,head,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,1,1.99225705,0.38475008,1.63048175,0.49811083,0.0010000000,11.8697,1,0,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,2,1.41630353,0.54345750,1.46536818,0.52329975,0.0010000000,10.2570,1,0,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,3,1.19051635,0.61540911,1.28501850,0.60579345,0.0010000000,11.5904,1,0,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,4,1.06403685,0.65234002,1.11504219,0.63790932,0.0010000000,11.2174,1,0,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,5,0.97839040,0.67526266,1.74152419,0.43765743,0.0010000000,11.1685,0,1,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,6,0.93974266,0.69404648,1.05879852,0.64609572,0.0010000000,11.3285,1,0,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,7,0.83261722,0.72476918,1.35604708,0.54911839,0.0010000000,11.7203,0,1,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,8,0.81896892,0.73209169,1.06665503,0.67065491,0.0010000000,10.7512,0,2,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,9,0.76476389,0.74864693,1.06371566,0.69080605,0.0010000000,11.3303,0,3,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,10,0.73720678,0.75565107,0.86404126,0.74748111,0.0010000000,10.9056,1,0,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,11,0.67636958,0.77507163,0.96851567,0.71851385,0.0010000000,11.3378,0,1,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,12,0.62986781,0.79879019,0.85215217,0.74874055,0.0010000000,11.3898,1,0,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,13,0.64109445,0.79178606,0.87704837,0.72984887,0.0010000000,13.0301,0,1,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,14,0.64493989,0.78653295,0.89229169,0.71473552,0.0010000000,10.7646,0,2,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,15,0.58438045,0.81009233,0.94190443,0.71788413,0.0010000000,11.2688,0,3,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,16,0.53358815,0.81868832,0.81947037,0.75125945,0.0010000000,10.3228,1,0,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,17,0.51633960,0.82346387,0.77724737,0.74496222,0.0010000000,10.5087,1,0,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,18,0.49945200,0.83970073,0.91392828,0.72292191,0.0010000000,10.1385,0,1,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,19,0.53849742,0.81693728,0.88405644,0.75566751,0.0010000000,11.0904,0,2,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,20,0.48682135,0.83731296,1.01658609,0.70906801,0.0010000000,10.7082,0,3,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,21,0.52569453,0.82298631,0.73246148,0.78148615,0.0010000000,10.7898,1,0,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,22,0.45734057,0.85084368,0.72678811,0.77518892,0.0010000000,10.3155,1,0,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,23,0.45691350,0.84765998,0.83975501,0.76637280,0.0010000000,10.3987,0,1,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,24,0.50344240,0.83397007,0.73688493,0.77896725,0.0010000000,11.0355,0,2,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,25,0.55935512,0.81391277,0.79103850,0.77204030,0.0010000000,10.4600,0,3,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,26,0.42946146,0.85577841,0.81657995,0.76826196,0.0010000000,10.8854,0,4,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,27,0.43022948,0.85530086,0.94925938,0.75125945,0.0010000000,10.5429,0,5,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,28,0.40531688,0.86310092,0.75297203,0.80100756,0.0001000000,10.8884,0,6,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,29,0.33863795,0.88729704,0.63602506,0.82304786,0.0001000000,10.4278,1,0,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,30,0.30279865,0.89684814,0.63519925,0.82997481,0.0001000000,10.7573,1,0,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,31,0.30516273,0.89700732,0.64623847,0.82745592,0.0001000000,10.9331,0,1,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,32,0.28483574,0.90974212,0.63762568,0.82745592,0.0001000000,11.0935,0,2,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,33,0.29093433,0.90241961,0.65726196,0.82556675,0.0001000000,10.5070,0,3,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,34,0.28117227,0.90353391,0.62798176,0.82934509,0.0001000000,10.6946,1,0,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,35,0.27508300,0.90592168,0.64514272,0.82745592,0.0001000000,10.7553,0,1,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,36,0.28146897,0.90544413,0.60923051,0.83753149,0.0001000000,11.1779,1,0,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,37,0.27050337,0.90783190,0.62918568,0.82997481,0.0001000000,11.4242,0,1,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,38,0.27940113,0.90528494,0.60681002,0.83123426,0.0001000000,11.7336,1,0,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,39,0.27663009,0.90735435,0.61068224,0.83501259,0.0001000000,11.3853,0,1,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,40,0.27083876,0.90783190,0.60824028,0.83501259,0.0001000000,10.8961,0,2,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,41,0.26731241,0.91340337,0.61831689,0.83690176,0.0001000000,10.9170,0,3,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,42,0.26420975,0.90990131,0.61174708,0.83564232,0.0001000000,11.2259,0,4,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,43,0.25934162,0.91212989,0.63058774,0.83123426,0.0001000000,10.5311,0,5,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,44,0.25858518,0.91292582,0.60496973,0.83753149,0.0001000000,10.9864,1,0,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,45,0.26478991,0.91197071,0.65510943,0.82619647,0.0001000000,10.9466,0,1,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,46,0.24813360,0.91897485,0.61640836,0.83312343,0.0001000000,10.5982,0,2,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,47,0.25912598,0.91754218,0.65111432,0.82619647,0.0001000000,11.6387,0,3,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,48,0.25550793,0.91563196,0.61200682,0.83186398,0.0001000000,11.3480,0,4,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,49,0.25035582,0.91626870,0.61133703,0.82934509,0.0001000000,10.6781,0,5,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,50,0.25727452,0.91483604,0.63469246,0.82934509,0.0000100000,10.8169,0,6,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,51,0.24027370,0.92040751,0.63697457,0.83123426,0.0000100000,10.7748,0,7,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,52,0.23437428,0.92040751,0.61112581,0.83060453,0.0000100000,10.8599,0,8,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,53,0.23449951,0.92327284,0.60948319,0.83249370,0.0000100000,10.8468,0,9,1,128
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,54,0.24499805,0.91881566,0.61303679,0.84068010,0.0000100000,10.6905,0,10,1,128
