stage,model_name,size,downsampling,activation,head,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,scratch_small_strided_silu_gap,small,strided,silu,gap,2,1,2.40197157,0.31805158,2.26115514,0.31801008,0.0010000000,10.5799,1,0,1,128
grid,scratch_small_strided_silu_gap,small,strided,silu,gap,2,2,2.07057424,0.39573384,2.05599864,0.34949622,0.0010000000,11.0863,1,0,1,128
grid,scratch_small_strided_silu_gap,small,strided,silu,gap,2,3,1.91989339,0.43123209,2.02328426,0.37090680,0.0010000000,10.5961,1,0,1,128
grid,scratch_small_strided_silu_gap,small,strided,silu,gap,2,4,1.82814898,0.45765680,1.90034842,0.44080605,0.0010000000,10.4873,1,0,1,128
grid,scratch_small_strided_silu_gap,small,strided,silu,gap,2,5,1.74099721,0.48121617,1.81623338,0.46851385,0.0010000000,10.6581,1,0,1,128
grid,scratch_small_strided_silu_gap,small,strided,silu,gap,2,6,1.64962555,0.50636740,2.03866231,0.45465995,0.0010000000,10.3739,0,1,1,128
grid,scratch_small_strided_silu_gap,small,strided,silu,gap,2,7,1.61485925,0.51289398,1.72938793,0.47544081,0.0010000000,11.1851,1,0,1,128
grid,scratch_small_strided_silu_gap,small,strided,silu,gap,2,8,1.56119451,0.53088188,1.62800134,0.51952141,0.0010000000,11.0080,1,0,1,128
grid,scratch_small_strided_silu_gap,small,strided,silu,gap,2,9,1.51927803,0.54122891,1.68745763,0.52644836,0.0010000000,10.7639,0,1,1,128
grid,scratch_small_strided_silu_gap,small,strided,silu,gap,2,10,1.48529090,0.55539637,1.68358812,0.52267003,0.0010000000,10.5399,0,2,1,128
grid,scratch_small_strided_silu_gap,small,strided,silu,gap,2,11,1.45668359,0.56112703,1.52792681,0.56926952,0.0010000000,10.3296,1,0,1,128
grid,scratch_small_strided_silu_gap,small,strided,silu,gap,2,12,1.39649482,0.58325374,1.63529298,0.51763224,0.0010000000,10.9015,0,1,1,128
grid,scratch_small_strided_silu_gap,small,strided,silu,gap,2,13,1.38795034,0.58866603,1.55774592,0.54848866,0.0010000000,10.9635,0,2,1,128
grid,scratch_small_strided_silu_gap,small,strided,silu,gap,2,14,1.35692004,0.59280484,1.57399952,0.56297229,0.0010000000,10.2420,0,3,1,128
grid,scratch_small_strided_silu_gap,small,strided,silu,gap,2,15,1.36720395,0.59041706,1.56150946,0.52833753,0.0010000000,10.5758,0,4,1,128
grid,scratch_small_strided_silu_gap,small,strided,silu,gap,2,16,1.32755186,0.60490290,1.48918499,0.59319899,0.0010000000,10.8797,1,0,1,128
grid,scratch_small_strided_silu_gap,small,strided,silu,gap,2,17,1.27517032,0.61636422,1.50894188,0.57367758,0.0010000000,11.0054,0,1,1,128
grid,scratch_small_strided_silu_gap,small,strided,silu,gap,2,18,1.28824623,0.61954791,1.40484973,0.59886650,0.0010000000,10.8803,1,0,1,128
grid,scratch_small_strided_silu_gap,small,strided,silu,gap,2,19,1.26468868,0.62193569,1.40513512,0.60201511,0.0010000000,10.9051,0,1,1,128
grid,scratch_small_strided_silu_gap,small,strided,silu,gap,2,20,1.20189038,0.64247055,1.40040803,0.59634761,0.0010000000,10.5860,1,0,1,128
grid,scratch_small_strided_silu_gap,small,strided,silu,gap,2,21,1.19616015,0.63912767,1.39792505,0.59634761,0.0010000000,10.8946,1,0,1,128
grid,scratch_small_strided_silu_gap,small,strided,silu,gap,2,22,1.17481004,0.64406240,1.72034128,0.50440806,0.0010000000,10.8363,0,1,1,128
grid,scratch_small_strided_silu_gap,small,strided,silu,gap,2,23,1.17485879,0.64469914,1.40472405,0.59949622,0.0010000000,15.0183,0,2,1,128
grid,scratch_small_strided_silu_gap,small,strided,silu,gap,2,24,1.14763369,0.65711557,1.30003023,0.64987406,0.0010000000,13.0702,1,0,1,128
