stage,model_name,size,downsampling,activation,head,seed,epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter,grad_accum_steps,effective_batch_size
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,1,1.81379836,0.44253422,1.49491249,0.53841310,0.0010000000,11.5569,1,0,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,2,1.28913944,0.60028653,1.25665039,0.61397985,0.0010000000,10.7462,1,0,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,3,1.06924682,0.65759312,1.38043850,0.62720403,0.0010000000,10.6553,0,1,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,4,0.94848340,0.69213626,1.05241775,0.66372796,0.0010000000,10.9386,1,0,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,5,0.87053452,0.71458134,1.14149271,0.64861461,0.0010000000,11.1574,0,1,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,6,0.78839766,0.74132442,1.04898378,0.69962217,0.0010000000,10.3046,1,0,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,7,0.69121758,0.77013690,1.21335281,0.64483627,0.0010000000,10.5665,0,1,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,8,0.65925298,0.78191659,0.93505297,0.72040302,0.0010000000,10.3962,1,0,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,9,0.67688745,0.77523082,0.93310131,0.72292191,0.0010000000,11.3296,1,0,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,10,0.60599428,0.79974530,0.81639866,0.76826196,0.0010000000,10.5304,1,0,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,11,0.51297372,0.83205985,1.00774363,0.72670025,0.0010000000,10.3737,0,1,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,12,0.52080805,0.82999045,0.89507862,0.74811083,0.0010000000,11.4514,0,2,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,13,0.48115249,0.84065584,0.95147903,0.74244332,0.0010000000,10.5921,0,3,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,14,0.50279556,0.82553327,0.84538981,0.74559194,0.0010000000,11.0016,0,4,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,15,0.48322377,0.83906399,0.92644637,0.74811083,0.0010000000,11.2610,0,5,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,16,0.50265611,0.83269659,0.97030546,0.75440806,0.0001000000,10.8464,0,6,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,17,0.36091255,0.87981535,0.71055609,0.80226700,0.0001000000,10.6935,1,0,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,18,0.32496868,0.89430118,0.68633594,0.81297229,0.0001000000,11.3223,1,0,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,19,0.31701811,0.89270933,0.70006916,0.80730479,0.0001000000,10.8668,0,1,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,20,0.30446188,0.89971347,0.67395442,0.81801008,0.0001000000,10.2999,1,0,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,21,0.30462691,0.89875836,0.68391279,0.81423174,0.0001000000,10.2409,0,1,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,22,0.29414496,0.90401146,0.68302399,0.80919395,0.0001000000,11.1302,0,2,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,23,0.28738775,0.90257880,0.66743493,0.81486146,0.0001000000,10.8525,1,0,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,24,0.28642482,0.91053805,0.69865521,0.81549118,0.0001000000,11.8973,0,1,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,25,0.28375777,0.90385228,0.68604042,0.81801008,0.0001000000,10.8125,0,2,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,26,0.28394531,0.90369309,0.67860534,0.81738035,0.0001000000,10.7189,0,3,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,27,0.27520246,0.90639924,0.67197472,0.82052897,0.0001000000,10.3574,0,4,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,28,0.28193231,0.90878701,0.71009879,0.81108312,0.0001000000,10.7946,0,5,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,29,0.26204076,0.91324419,0.66666965,0.82241814,0.0001000000,10.8113,1,0,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,30,0.27361380,0.90878701,0.64962945,0.82556675,0.0001000000,10.3980,1,0,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,31,0.25834053,0.91181152,0.64299586,0.82052897,0.0001000000,10.7807,1,0,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,32,0.26352773,0.91356256,0.67744059,0.82430730,0.0001000000,10.4154,0,1,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,33,0.26355706,0.91308500,0.67982947,0.81801008,0.0001000000,10.9251,0,2,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,34,0.25432603,0.91849729,0.69066655,0.81989924,0.0001000000,11.3344,0,3,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,35,0.25325602,0.91419930,0.66218200,0.83060453,0.0001000000,10.3591,0,4,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,36,0.23935754,0.92311366,0.70070863,0.81738035,0.0001000000,10.8775,0,5,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,37,0.24638550,0.91992996,0.67170253,0.82241814,0.0000100000,10.4061,0,6,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,38,0.24090389,0.92104425,0.67915271,0.82367758,0.0000100000,11.1832,0,7,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,39,0.23622579,0.92279529,0.67559643,0.82115869,0.0000100000,11.0879,0,8,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,40,0.23032375,0.92470551,0.66976746,0.82745592,0.0000100000,11.2029,0,9,1,128
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,2,41,0.23457203,0.92566062,0.67195709,0.82178841,0.0000100000,11.8138,0,10,1,128
