stage,model_name,size,downsampling,activation,head,n_seeds,seeds,best_val_acc_mean,best_val_acc_std,best_val_loss_mean,best_val_loss_std,train_val_gap_mean,train_val_gap_std,best_epoch_mean,best_epoch_std,best_seed,best_seed_val_acc,best_seed_checkpoint,params
grid,scratch_base_maxpool_relu_gap,base,maxpool,relu,gap,3,1 2 3,0.72250210,0.02008543,0.96034840,0.04574928,0.09480661,0.00417355,50.6667,7.7675,1,0.73929471,best_scratch_base_maxpool_relu_gap_scratch_seed1.pth,394036
grid,scratch_base_maxpool_relu_pool4mlp,base,maxpool,relu,pool4mlp,3,1 2 3,0.81654072,0.01346685,0.65415611,0.03361455,0.07871557,0.01180636,44.0000,23.8118,3,0.83123426,best_scratch_base_maxpool_relu_pool4mlp_scratch_seed3.pth,2496820
grid,scratch_base_maxpool_silu_gap,base,maxpool,silu,gap,3,1 2 3,0.70927792,0.01043011,1.02725752,0.03668624,0.10171646,0.01552678,45.6667,8.1445,3,0.71914358,best_scratch_base_maxpool_silu_gap_scratch_seed3.pth,394036
grid,scratch_base_maxpool_silu_pool4mlp,base,maxpool,silu,pool4mlp,3,1 2 3,0.82472712,0.00096192,0.68544035,0.02658616,0.08496194,0.00468203,34.0000,6.5574,3,0.82556675,best_scratch_base_maxpool_silu_pool4mlp_scratch_seed3.pth,2496820
grid,scratch_base_strided_relu_gap,base,strided,relu,gap,3,1 2 3,0.71935348,0.01080362,1.01253337,0.04897809,0.07986120,0.00416216,51.3333,8.1445,3,0.72921914,best_scratch_base_strided_relu_gap_scratch_seed3.pth,394036
grid,scratch_base_strided_relu_pool4mlp,base,strided,relu,pool4mlp,3,1 2 3,0.83417297,0.01109337,0.59995247,0.02549903,0.06320579,0.00712685,38.3333,15.5027,1,0.84445844,best_scratch_base_strided_relu_pool4mlp_scratch_seed1.pth,2496820
grid,scratch_base_strided_silu_gap,base,strided,silu,gap,3,1 2 3,0.70948783,0.01532613,1.05498901,0.03389249,0.09551058,0.01965800,53.0000,15.7162,1,0.72607053,best_scratch_base_strided_silu_gap_scratch_seed1.pth,394036
grid,scratch_base_strided_silu_pool4mlp,base,strided,silu,pool4mlp,3,1 2 3,0.83018472,0.01354027,0.66479624,0.00580799,0.09993308,0.00688282,35.3333,12.0968,3,0.84382872,best_scratch_base_strided_silu_pool4mlp_scratch_seed3.pth,2496820
grid,scratch_deep_maxpool_relu_gap,deep,maxpool,relu,gap,3,1 2 3,0.77434929,0.02310605,0.82112011,0.05893502,0.12361315,0.00475070,47.0000,20.8087,3,0.80100756,best_scratch_deep_maxpool_relu_gap_scratch_seed3.pth,1579828
grid,scratch_deep_maxpool_relu_pool4mlp,deep,maxpool,relu,pool4mlp,3,1 2 3,0.81108312,0.00657450,0.64248828,0.00885847,0.05737703,0.00273156,42.0000,1.7321,1,0.81549118,best_scratch_deep_maxpool_relu_pool4mlp_scratch_seed1.pth,5774644
grid,scratch_deep_maxpool_silu_gap,deep,maxpool,silu,gap,3,1 2 3,0.75734677,0.01511773,0.86470666,0.04438887,0.12793393,0.00661442,49.3333,10.2632,2,0.77267003,best_scratch_deep_maxpool_silu_gap_scratch_seed2.pth,1579828
grid,scratch_deep_maxpool_silu_pool4mlp,deep,maxpool,silu,pool4mlp,3,1 2 3,0.83375315,0.00666436,0.59870591,0.01045414,0.07901349,0.00794013,52.6667,12.5831,2,0.83879093,best_scratch_deep_maxpool_silu_pool4mlp_scratch_seed2.pth,5774644
grid,scratch_deep_strided_relu_gap,deep,strided,relu,gap,3,1 2 3,0.77770781,0.01690897,0.82920687,0.02847165,0.11165864,0.01333486,49.6667,7.2342,3,0.79282116,best_scratch_deep_strided_relu_gap_scratch_seed3.pth,1579828
grid,scratch_deep_strided_relu_pool4mlp,deep,strided,relu,pool4mlp,3,1 2 3,0.82556675,0.02432394,0.62999774,0.05757428,0.06247315,0.01059595,36.6667,6.4291,3,0.85201511,best_scratch_deep_strided_relu_pool4mlp_scratch_seed3.pth,5774644
grid,scratch_deep_strided_silu_gap,deep,strided,silu,gap,3,1 2 3,0.72879933,0.01228094,0.96392667,0.04403538,0.11052997,0.00418329,38.6667,11.7189,2,0.73740554,best_scratch_deep_strided_silu_gap_scratch_seed2.pth,1579828
grid,scratch_deep_strided_silu_pool4mlp,deep,strided,silu,pool4mlp,3,1 2 3,0.82829555,0.01134084,0.68006857,0.02891235,0.09900998,0.00782954,37.3333,10.0167,1,0.84130982,best_scratch_deep_strided_silu_pool4mlp_scratch_seed1.pth,5774644
grid,scratch_small_maxpool_relu_gap,small,maxpool,relu,gap,3,1 2 3,0.69836272,0.01366658,1.03683124,0.02832455,0.04810868,0.01015904,55.0000,12.5300,2,0.71410579,best_scratch_small_maxpool_relu_gap_scratch_seed2.pth,100260
grid,scratch_small_maxpool_relu_pool4mlp,small,maxpool,relu,pool4mlp,3,1 2 3,0.82220823,0.00947379,0.62461554,0.03174058,0.09055840,0.01424089,43.0000,15.5242,2,0.83123426,best_scratch_small_maxpool_relu_pool4mlp_scratch_seed2.pth,1157028
grid,scratch_small_maxpool_silu_gap,small,maxpool,silu,gap,3,1 2 3,0.69458438,0.00773817,1.06238135,0.04471430,0.04658085,0.02460183,45.0000,9.8489,1,0.70025189,best_scratch_small_maxpool_silu_gap_scratch_seed1.pth,100260
grid,scratch_small_maxpool_silu_pool4mlp,small,maxpool,silu,pool4mlp,3,1 2 3,0.84298908,0.01244134,0.63601264,0.00223897,0.09721043,0.00773183,39.3333,23.1157,2,0.85642317,best_scratch_small_maxpool_silu_pool4mlp_scratch_seed2.pth,1157028
grid,scratch_small_strided_relu_gap,small,strided,relu,gap,3,1 2 3,0.68240974,0.03148824,1.09627886,0.07909384,0.05270647,0.00448218,52.6667,12.8970,1,0.71410579,best_scratch_small_strided_relu_gap_scratch_seed1.pth,100260
grid,scratch_small_strided_relu_pool4mlp,small,strided,relu,pool4mlp,3,1 2 3,0.83774139,0.00724410,0.60068187,0.01825463,0.08043753,0.00450772,42.6667,2.3094,2,0.84508816,best_scratch_small_strided_relu_pool4mlp_scratch_seed2.pth,1157028
grid,scratch_small_strided_silu_gap,small,strided,silu,gap,3,1 2 3,0.68996642,0.00605102,1.10673704,0.02515808,0.04265589,0.01267856,49.0000,7.0000,2,0.69647355,best_scratch_small_strided_silu_gap_scratch_seed2.pth,100260
grid,scratch_small_strided_silu_pool4mlp,small,strided,silu,pool4mlp,3,1 2 3,0.82136860,0.01135831,0.66285371,0.02417196,0.10333691,0.01044576,33.3333,7.7675,1,0.83312343,best_scratch_small_strided_silu_pool4mlp_scratch_seed1.pth,1157028
