stage,model_name,size,downsampling,activation,head,seed,best_epoch,epochs_ran,best_train_acc,best_val_loss,best_val_acc,train_val_gap_at_best,params,batch_size,grad_accum_steps,effective_batch_size,checkpoint,log_file
grid,scratch_small_maxpool_relu_gap,small,maxpool,relu,gap,1,67,77,0.73049984,1.06908754,0.69143577,0.03906407,100260,128,1,128,best_scratch_small_maxpool_relu_gap_scratch_seed1.pth,metrics_scratch_small_maxpool_relu_gap_scratch_seed1.csv
grid,scratch_small_maxpool_relu_gap,small,maxpool,relu,gap,2,56,66,0.76026743,1.02538583,0.71410579,0.04616164,100260,128,1,128,best_scratch_small_maxpool_relu_gap_scratch_seed2.pth,metrics_scratch_small_maxpool_relu_gap_scratch_seed2.csv
grid,scratch_small_maxpool_relu_gap,small,maxpool,relu,gap,3,42,52,0.74864693,1.01602034,0.68954660,0.05910033,100260,128,1,128,best_scratch_small_maxpool_relu_gap_scratch_seed3.pth,metrics_scratch_small_maxpool_relu_gap_scratch_seed3.csv
grid,scratch_small_maxpool_relu_pool4mlp,small,maxpool,relu,pool4mlp,1,27,37,0.89477873,0.66022938,0.81234257,0.08243616,1157028,128,1,128,best_scratch_small_maxpool_relu_pool4mlp_scratch_seed1.pth,metrics_scratch_small_maxpool_relu_pool4mlp_scratch_seed1.csv
grid,scratch_small_maxpool_relu_pool4mlp,small,maxpool,relu,pool4mlp,2,58,68,0.93823623,0.61430562,0.83123426,0.10700197,1157028,128,1,128,best_scratch_small_maxpool_relu_pool4mlp_scratch_seed2.pth,metrics_scratch_small_maxpool_relu_pool4mlp_scratch_seed2.csv
grid,scratch_small_maxpool_relu_pool4mlp,small,maxpool,relu,pool4mlp,3,44,54,0.90528494,0.59931162,0.82304786,0.08223708,1157028,128,1,128,best_scratch_small_maxpool_relu_pool4mlp_scratch_seed3.pth,metrics_scratch_small_maxpool_relu_pool4mlp_scratch_seed3.csv
grid,scratch_small_maxpool_silu_gap,small,maxpool,silu,gap,1,56,66,0.77491245,1.01195107,0.70025189,0.07466056,100260,128,1,128,best_scratch_small_maxpool_silu_gap_scratch_seed1.pth,metrics_scratch_small_maxpool_silu_gap_scratch_seed1.csv
grid,scratch_small_maxpool_silu_gap,small,maxpool,silu,gap,2,37,47,0.73400191,1.07800698,0.69773300,0.03626891,100260,128,1,128,best_scratch_small_maxpool_silu_gap_scratch_seed2.pth,metrics_scratch_small_maxpool_silu_gap_scratch_seed2.csv
grid,scratch_small_maxpool_silu_gap,small,maxpool,silu,gap,3,42,52,0.71458134,1.09718601,0.68576826,0.02881308,100260,128,1,128,best_scratch_small_maxpool_silu_gap_scratch_seed3.pth,metrics_scratch_small_maxpool_silu_gap_scratch_seed3.csv
grid,scratch_small_maxpool_silu_pool4mlp,small,maxpool,silu,pool4mlp,1,25,35,0.93553009,0.63840736,0.83186398,0.10366611,1157028,128,1,128,best_scratch_small_maxpool_silu_pool4mlp_scratch_seed1.pth,metrics_scratch_small_maxpool_silu_pool4mlp_scratch_seed1.csv
